(3.8911290322580645,9.285714285714286)
(2.1370967741935485,7.878787878787879)
(3.4072580645161286,6.607142857142858)
(1.875,4.848484848484849)
(2.9838709677419355,3.4686147186147194)
(0.9879032258064515,2.3051948051948052)
(3.1653225806451615,1.0876623376623376)
(4.778225806451612,0.7900432900432901)
(6.532258064516128,2.1969696969696972)
(5.282258064516128,3.5768398268398274)
(7.036290322580644,5.362554112554113)
(5.201612903225806,6.8777056277056285)
(6.875,7.987012987012989)
(5.060483870967742,9.610389610389612)
